message_id,client_id,canal,date,heure,message,statut,temps_reponse_min
M0001,CL065,Téléphone,2026-09-04,12:50,Le produit reçu n'est pas celui que j'avais commandé.,Répondu,10
M0002,CL023,Instagram,2026-09-06,17:50,Quels sont les moyens de paiement ?,En cours,
M0003,CL092,Instagram,2026-09-05,19:50,"Je souhaite commander 5 unités, vous faites une réduction ?",Répondu,10
M0004,CL083,Email,2026-09-07,14:40,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Nouveau,90
M0005,CL017,Facebook,2026-09-10,16:20,Quels sont les moyens de paiement ?,Escaladé,720
M0006,CL009,WhatsApp,2026-09-01,20:50,J'ai payé hier mais ma commande n'est toujours pas livrée.,Nouveau,10
M0007,CL086,WhatsApp,2026-09-08,21:50,Je veux annuler ma commande.,En cours,45
M0008,CL099,Instagram,2026-09-02,21:10,C'est disponible à Kara ?,Répondu,720
M0009,CL009,WhatsApp,2026-09-10,11:00,"Bonjour, combien coûte le pack entreprise ?",Nouveau,
M0010,CL098,Facebook,2026-09-10,17:00,Merci pour votre service.,Nouveau,180
M0011,CL014,Email,2026-09-07,09:50,Quels sont les moyens de paiement ?,Escaladé,45
M0012,CL026,Facebook,2026-09-08,14:50,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,45
M0013,CL095,Instagram,2026-09-07,20:40,Je voudrais parler au responsable.,Nouveau,10
M0014,CL075,WhatsApp,2026-09-11,17:00,"Bonjour, je voudrais connaître vos horaires.",Nouveau,20
M0015,CL001,Facebook,2026-09-13,13:40,Le produit reçu n'est pas celui que j'avais commandé.,Nouveau,180
M0016,CL024,Téléphone,2026-09-08,10:10,Quels sont les moyens de paiement ?,Répondu,180
M0017,CL046,Téléphone,2026-09-09,20:10,Je voudrais parler au responsable.,Nouveau,
M0018,CL055,Email,2026-09-02,16:00,J'ai payé hier mais ma commande n'est toujours pas livrée.,Escaladé,90
M0019,CL013,WhatsApp,2026-09-08,10:00,Quels sont les moyens de paiement ?,Escaladé,180
M0020,CL003,Instagram,2026-09-05,21:20,Pouvez-vous m'envoyer votre catalogue ?,En cours,10
M0021,CL021,Facebook,2026-09-02,15:40,"Bonjour, je voudrais connaître vos horaires.",Escaladé,90
M0022,CL052,Téléphone,2026-09-01,15:50,Merci pour votre service.,Nouveau,
M0023,CL034,WhatsApp,2026-09-01,12:30,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,180
M0024,CL098,WhatsApp,2026-09-03,10:40,Quel est le délai de livraison ?,En cours,5
M0025,CL031,Email,2026-09-02,19:40,Merci pour votre service.,Escaladé,5
M0026,CL045,WhatsApp,2026-09-07,16:50,Quels sont les moyens de paiement ?,Nouveau,
M0027,CL017,Facebook,2026-09-12,07:00,"Bonjour, combien coûte le pack entreprise ?",Répondu,45
M0028,CL084,Facebook,2026-09-07,14:20,Je voudrais parler au responsable.,Nouveau,5
M0029,CL008,WhatsApp,2026-09-13,19:10,Le produit reçu n'est pas celui que j'avais commandé.,Escaladé,720
M0030,CL088,WhatsApp,2026-09-09,14:00,Pouvez-vous m'envoyer votre catalogue ?,Répondu,20
M0031,CL056,Email,2026-09-09,09:00,Je veux annuler ma commande.,Nouveau,180
M0032,CL046,Instagram,2026-09-06,13:00,"Bonjour, je voudrais connaître vos horaires.",Nouveau,10
M0033,CL076,WhatsApp,2026-09-04,13:50,Je voudrais parler au responsable.,Escaladé,5
M0034,CL002,Instagram,2026-09-01,08:00,J'ai payé hier mais ma commande n'est toujours pas livrée.,Répondu,20
M0035,CL037,WhatsApp,2026-09-06,12:40,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Nouveau,90
M0036,CL017,Téléphone,2026-09-07,14:50,Est-ce que le produit A est encore disponible ?,Nouveau,10
M0037,CL033,Téléphone,2026-09-04,14:50,C'est disponible à Kara ?,En cours,45
M0038,CL057,Facebook,2026-09-06,19:40,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,90
M0039,CL041,Téléphone,2026-09-09,08:00,Personne ne répond à mes messages depuis hier.,Répondu,
M0040,CL036,WhatsApp,2026-09-04,21:10,Quel est le délai de livraison ?,Escaladé,45
M0041,CL040,Téléphone,2026-09-04,08:20,C'est disponible à Kara ?,Nouveau,5
M0042,CL031,Email,2026-09-11,19:30,Est-ce que le produit A est encore disponible ?,Nouveau,
M0043,CL005,Facebook,2026-09-05,16:30,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,5
M0044,CL036,Téléphone,2026-09-07,14:00,Quel est le délai de livraison ?,Répondu,720
M0045,CL057,WhatsApp,2026-09-04,10:30,J'ai payé hier mais ma commande n'est toujours pas livrée.,Répondu,5
M0046,CL085,Facebook,2026-09-01,15:20,Merci pour votre service.,Nouveau,180
M0047,CL034,Téléphone,2026-09-04,19:00,Personne ne répond à mes messages depuis hier.,Escaladé,720
M0048,CL055,WhatsApp,2026-09-13,08:40,Pouvez-vous m'envoyer votre catalogue ?,En cours,
M0049,CL055,Téléphone,2026-09-12,16:40,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,720
M0050,CL060,Instagram,2026-09-03,21:00,"Je souhaite commander 5 unités, vous faites une réduction ?",En cours,10
M0051,CL032,Téléphone,2026-09-05,12:40,Pouvez-vous m'envoyer votre catalogue ?,Nouveau,90
M0052,CL047,Facebook,2026-09-11,11:50,Je voudrais parler au responsable.,Escaladé,5
M0053,CL016,Facebook,2026-09-10,17:20,Quel est le délai de livraison ?,En cours,20
M0054,CL057,Email,2026-09-01,14:00,Je veux annuler ma commande.,Nouveau,180
M0055,CL062,Téléphone,2026-09-04,13:00,Quels sont les moyens de paiement ?,Nouveau,90
M0056,CL079,Téléphone,2026-09-06,08:30,J'ai payé hier mais ma commande n'est toujours pas livrée.,En cours,90
M0057,CL034,Email,2026-09-03,10:50,J'ai payé hier mais ma commande n'est toujours pas livrée.,Nouveau,5
M0058,CL030,WhatsApp,2026-09-11,07:10,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Escaladé,
M0059,CL075,Facebook,2026-09-01,15:50,"Bonjour, je voudrais connaître vos horaires.",Nouveau,90
M0060,CL033,WhatsApp,2026-09-11,20:20,Le produit reçu n'est pas celui que j'avais commandé.,Nouveau,45
M0061,CL045,WhatsApp,2026-09-02,15:30,Est-ce que le produit A est encore disponible ?,Escaladé,10
M0062,CL031,Instagram,2026-09-06,16:20,Quel est le délai de livraison ?,Répondu,10
M0063,CL083,Email,2026-09-05,09:00,Personne ne répond à mes messages depuis hier.,Escaladé,180
M0064,CL043,Email,2026-09-11,12:30,"Je souhaite commander 5 unités, vous faites une réduction ?",Escaladé,5
M0065,CL021,Facebook,2026-09-01,11:10,Merci pour votre service.,Escaladé,5
M0066,CL014,Téléphone,2026-09-04,19:20,Le produit reçu n'est pas celui que j'avais commandé.,Escaladé,180
M0067,CL028,Email,2026-09-10,07:50,C'est disponible à Kara ?,Nouveau,720
M0068,CL098,WhatsApp,2026-09-02,21:10,Quels sont les moyens de paiement ?,Escaladé,720
M0069,CL069,WhatsApp,2026-09-09,19:00,Quels sont les moyens de paiement ?,Répondu,
M0070,CL041,Facebook,2026-09-04,20:40,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,180
M0071,CL032,Facebook,2026-09-04,14:20,C'est disponible à Kara ?,Nouveau,45
M0072,CL057,Email,2026-09-06,08:20,Le produit reçu n'est pas celui que j'avais commandé.,Escaladé,10
M0073,CL047,Email,2026-09-10,10:30,Je voudrais parler au responsable.,Répondu,45
M0074,CL073,Instagram,2026-09-09,10:30,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Escaladé,20
M0075,CL078,Facebook,2026-09-13,11:20,Personne ne répond à mes messages depuis hier.,Nouveau,10
M0076,CL053,Email,2026-09-09,09:40,Je veux annuler ma commande.,Nouveau,20
M0077,CL059,WhatsApp,2026-09-03,08:30,"Je souhaite commander 5 unités, vous faites une réduction ?",Escaladé,
M0078,CL096,WhatsApp,2026-09-03,20:00,Quel est le délai de livraison ?,Répondu,5
M0079,CL089,Instagram,2026-09-02,09:40,Quel est le délai de livraison ?,Escaladé,720
M0080,CL055,Facebook,2026-09-03,13:50,Le produit reçu n'est pas celui que j'avais commandé.,Nouveau,90
M0081,CL016,Facebook,2026-09-06,16:40,Quels sont les moyens de paiement ?,Nouveau,5
M0082,CL010,Facebook,2026-09-08,21:30,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Répondu,720
M0083,CL038,Email,2026-09-12,09:50,J'ai payé hier mais ma commande n'est toujours pas livrée.,Escaladé,10
M0084,CL020,WhatsApp,2026-09-10,16:20,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Répondu,720
M0085,CL042,Email,2026-09-03,15:50,Quels sont les moyens de paiement ?,En cours,10
M0086,CL030,Facebook,2026-09-08,12:00,Quels sont les moyens de paiement ?,Escaladé,720
M0087,CL037,Facebook,2026-09-07,12:10,J'ai payé hier mais ma commande n'est toujours pas livrée.,Nouveau,45
M0088,CL056,Téléphone,2026-09-05,16:40,Personne ne répond à mes messages depuis hier.,Nouveau,180
M0089,CL037,Instagram,2026-09-02,11:20,Je veux annuler ma commande.,Répondu,45
M0090,CL022,Facebook,2026-09-05,16:00,Merci pour votre service.,Nouveau,90
M0091,CL019,WhatsApp,2026-09-04,15:40,Je voudrais parler au responsable.,Nouveau,5
M0092,CL077,WhatsApp,2026-09-09,15:10,"Bonjour, combien coûte le pack entreprise ?",Répondu,5
M0093,CL048,Instagram,2026-09-05,16:30,C'est disponible à Kara ?,Répondu,20
M0094,CL059,Facebook,2026-09-02,18:50,Merci pour votre service.,Nouveau,
M0095,CL056,Email,2026-09-05,08:10,"Je souhaite commander 5 unités, vous faites une réduction ?",Nouveau,180
M0096,CL011,Instagram,2026-09-12,08:20,J'ai payé hier mais ma commande n'est toujours pas livrée.,Escaladé,180
M0097,CL036,Email,2026-09-11,18:40,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Nouveau,180
M0098,CL005,Email,2026-09-02,21:50,Je voudrais parler au responsable.,Escaladé,180
M0099,CL025,Téléphone,2026-09-11,20:50,"Bonjour, combien coûte le pack entreprise ?",Nouveau,45
M0100,CL018,Téléphone,2026-09-07,20:10,"Je suis intéressé par votre offre entreprise, pouvez-vous me rappeler ?",Nouveau,90
M0101,CL061,Instagram,2026-09-08,20:10,C'est disponible à Kara ?,Répondu,90
M0102,CL017,Instagram,2026-09-11,21:00,Le produit reçu n'est pas celui que j'avais commandé.,Nouveau,5
M0103,CL056,WhatsApp,2026-09-08,15:40,"Bonjour, je voudrais connaître vos horaires.",Nouveau,5
M0104,CL054,Facebook,2026-09-10,13:50,Quels sont les moyens de paiement ?,Nouveau,180
